,101_1_222_nl_he,101_2_222_nl_he,101_3_222_nl_he,101_4_222_nl_he,101_5_222_nl_he,101_6_222_nl_he,101_7_222_nl_he,101_8_222_nl_he,101_9_222_nl_he,101_10_222_nl_he,101_11_222_nl_he,101_12_222_nl_he,101_13_222_nl_he,101_14_222_nl_he,101_15_222_nl_he,101_16_222_nl_he,101_17_222_nl_he,101_18_222_nl_he,101_19_222_nl_he,101_20_222_nl_he,101_21_222_nl_he,101_22_222_nl_he,101_23_222_nl_he,101_24_222_nl_he,101_25_222_nl_he,101_26_222_nl_he,101_27_222_nl_he,101_28_222_nl_he,101_29_222_nl_he,101_30_222_nl_he,101_31_222_nl_he,101_32_222_nl_he,101_33_222_nl_he,101_34_222_nl_he,101_35_222_nl_he,101_36_222_nl_he,101_37_222_nl_he,101_38_222_nl_he,101_39_222_nl_he,101_40_222_nl_he,101_41_222_nl_he,101_42_222_nl_he,101_43_222_nl_he,101_44_222_nl_he,101_45_222_nl_he,101_46_222_nl_he,101_47_222_nl_he,101_48_222_nl_he,101_49_222_nl_he,101_50_222_nl_he,101_51_222_nl_he,101_52_222_nl_he,101_53_222_nl_he,101_54_222_nl_he,101_55_222_nl_he,101_56_222_nl_he,101_57_222_nl_he,101_58_222_nl_he,101_59_222_nl_he,101_60_222_nl_he,101_61_222_nl_he,101_62_222_nl_he,101_63_222_nl_he,101_64_222_nl_he,101_65_222_nl_he,101_66_222_nl_he,101_67_222_nl_he,101_68_222_nl_he,101_69_222_nl_he,101_70_222_nl_he,101_71_222_nl_he,101_72_222_nl_he,101_73_222_nl_he,101_74_222_nl_he,101_75_222_nl_he,101_76_222_nl_he,101_77_222_nl_he,101_78_222_nl_he,101_79_222_nl_he,101_80_222_nl_he,101_81_222_nl_he,101_82_222_nl_he,101_83_222_nl_he,101_84_222_nl_he,101_85_222_nl_he,101_86_222_nl_he,101_87_222_nl_he,101_88_222_nl_he,101_89_222_nl_he,101_90_222_nl_he,101_91_222_nl_he,101_92_222_nl_he,101_93_222_nl_he,101_94_222_nl_he,101_95_222_nl_he,101_96_222_nl_he,101_97_222_nl_he,101_98_222_nl_he,101_99_222_nl_he,101_100_222_nl_he,101_101_222_nl_he
0,0.3587989038,1.1125168246,0.6869961767,0.9688039114,1.843291381,0.9924499041,1.1528410603,0.9116862785,0.6811727286,1.8007427836,1.1294315084,1.2837340414,2.4454668629,1.0939629285,0.8084491023,1.2225489074,0.6231980333,1.2911256855,1.050536969,0.6505841088,1.5146507202,0.2073982446,1.1733378405,2.0896241717,1.4322790032,0.7498926342,0.2734522127,0.9770007682,0.3639883629,0.3518278884,0.5123655613,1.495682055,1.5828942466,1.3756320801,1.1792131547,1.7168178099,0.9568894783,1.3163509199,2.1730389572,0.27187686,1.9955736319,1.0231989842,1.9799816051,1.4386615063,0.7891186667,1.4908583437,0.6538041888,1.9106565078,1.6549442724,2.1475771448,1.6498786425,0.8568586501,2.1992938981,1.2773610664,0.5802466951,1.1067952454,1.116563376,0.3508383846,0.0883894348,1.1458362384,1.7386814532,0.1008810803,0.7494184423,1.059362754,0.7388992404,0.4619280004,0.1558609873,0.0350776599,1.5155896913,0.6438648422,0.6542709854,1.6305581596,1.3406073477,1.0639985911,1.7861601719,0.7062470749,2.2132675707,2.1999856505,0.6946337573,0.2044890876,1.0239338521,0.4801531663,0.1664043365,0.4682983953,1.7833417533,0.1810020322,0.9431390304,2.620045681,1.0781038874,1.0834926064,0.8811095139,1.2652417905,0.4159029102,1.2976419592,0.4666231791,0.5288370167,0.4686122103,0.8392003042,2.236277153,1.280012872,0.8543892792
1,2.4536790121,3.4610023616,0.2274122752,2.9860072737,3.0749570181,2.823580809,3.7705776434,1.4966586787,0.839651903,2.4098893383,1.6663344103,1.1536591997,4.8604281053,2.2375504182,2.6474833558,2.261910205,1.6573724711,3.6090685662,1.1956776711,3.5718960269,1.9643166778,2.5778257658,1.8217037305,5.3699452846,1.921351377,1.2992127251,2.0596653303,1.712256662,1.4652981629,0.8790349074,1.6733213062,2.8954417036,1.2529467764,3.4190339257,1.1424628714,2.8582450004,3.0858816059,2.5436847326,3.952988325,0.5534117443,4.6034310856,3.6246795631,3.4837654886,3.0606159647,0.3223419917,2.8388094999,2.0485318728,2.5644690567,3.1281593643,3.7571406965,3.46043574,3.245877079,5.744427935,1.8873521632,1.7356079242,2.4242124166,2.426977159,1.4746163523,1.2252923875,0.2160096505,2.6068994118,0.8094110068,0.0680343435,0.8877276847,1.3280258538,0.6951392975,1.3380810553,1.6984998763,2.8222954702,1.9062616152,1.6299369516,3.9899765546,2.9377578655,0.9536193247,3.6228255217,0.3669026079,2.6260598521,3.335382853,1.7701638204,1.7667101978,2.643525847,1.8774584436,1.064708549,3.6102503209,2.6880496243,1.7983137463,1.3205541423,5.7139326723,2.1430911689,3.912639086,1.0051064472,3.376405497,2.2777799835,2.3827694284,1.9515046061,2.2722515306,0.7557825271,2.7511473243,3.0654723021,3.2774658297,1.6962982561
2,4.4144290737,5.0664307096,2.4610389603,3.1896844126,4.1287325101,3.1501106829,4.2944613507,2.0489675,1.2385673679,1.8386868218,2.7751067433,3.044589924,8.5909343242,3.5106322612,3.2323615542,3.4637747531,2.2241618463,5.8106653679,0.8045857455,5.0272285161,2.7994255373,5.8909212542,2.5324347977,9.0030447225,2.669867513,2.1886190585,1.8558577167,2.9563374472,3.3723246514,2.7290996471,2.9782430476,3.5569895562,2.6763530858,5.8445781053,1.8744007825,3.2060868976,6.9802313431,3.235324457,4.2742230564,2.1449090217,5.1377649707,5.1755978455,5.8584069542,2.4570910831,1.1584274122,4.0155588394,3.7507554789,2.2422205001,3.9868848254,4.7269418348,4.3155786997,6.5943462905,8.5719559593,1.9107204718,2.6657852369,2.4112829357,3.2334665882,2.4852445261,2.5914178442,0.4645139099,5.0645984173,0.5570827093,0.2736248499,1.6574639684,1.4906225855,1.9102426219,1.9225391723,3.1629128269,3.4104663805,1.5372244042,2.4964708963,6.0566868014,3.3605281899,0.7371826026,3.0649867372,1.093481561,1.9534772631,4.8399400433,3.5352487994,1.9354272834,3.2595413158,1.5707875247,1.2633967036,7.0567616969,3.2753341354,0.809862918,2.884877654,7.4892786184,1.9858084931,5.4492832576,3.3909908173,6.1995396084,3.821849551,3.9727637648,2.5297803788,1.553700682,0.4814261987,3.6530707955,4.0948902077,5.9913609565,2.4679545041
3,5.9081509614,7.7016381396,3.650767818,4.3347433081,4.125337169,3.0949448803,5.3372868353,3.3123323825,1.3097416722,0.8583290611,5.1962239188,4.0984042787,11.5062428714,4.5522897761,5.0540289448,3.6934694995,2.6270661862,7.8730920781,0.8912917053,5.5899019846,4.1005707857,6.576061868,2.7943586786,11.5932787649,3.2775165076,1.8931305594,2.7795055213,4.5989849649,3.212638669,3.3998296665,2.5025748908,4.2955234947,4.1898948841,6.0827858478,2.4018038515,3.5273948339,7.8297662301,2.8178630927,2.6351573264,3.2757511508,6.8484449594,4.6793466938,6.2118801095,3.9946213957,1.2702251932,5.0249747342,4.2070883878,3.5271871681,5.1858040353,4.6546090527,4.150371988,7.2459200964,11.1519215478,3.0130568047,2.6558085847,2.311795605,3.1949799987,4.4143224892,3.2607496988,0.483051007,5.8324073342,1.0931069071,1.5402345405,2.3084795851,4.0507344676,3.1175935733,1.9370771788,2.7026047681,4.4509359071,2.4605790819,2.6433112598,6.2486185372,5.0940060735,0.4111349357,2.7835911345,0.5694520758,3.6582145769,5.7888194134,5.4066457124,0.7305195503,3.4557246528,2.0892273688,1.9637101594,8.7035016536,3.4742957176,1.3806401345,3.4495170763,7.3146489826,3.1120026925,5.2442937094,3.8767380243,7.8090081852,5.2874215398,4.7653941043,2.7872994184,2.2049201469,0.6989228988,3.1109460528,5.6407418327,5.6230909866,3.4018863913
4,6.7787924764,9.7642278305,4.3919489878,6.0956448826,4.4947143248,4.2189781785,6.1880289255,5.8826271536,2.6324943382,2.0576855494,6.691762777,5.0345334983,13.1733477757,5.268337482,6.0283622241,3.1900904233,3.6123390524,7.8821979706,1.163291759,6.3528265233,5.7966347903,4.7372661974,3.1462583377,11.2651199772,4.1050734726,2.5793832838,3.0043820917,5.3107062145,2.6338077398,4.5587911937,2.7612189422,5.0677371866,5.0322492767,5.5273445446,3.6187626332,1.5005992726,9.4256285411,3.1212743388,1.4843004626,3.9352453792,8.9971477831,4.9731027956,5.987015353,3.6602595077,1.2601689748,5.3339662919,4.5193795341,3.7058112999,5.9577933758,4.8685379906,4.7012257046,7.6795993755,10.6156531334,3.9078687057,2.1923203048,1.5022421937,4.2255484573,4.4698921309,3.2818398301,0.9777574055,6.1837424712,1.1424620598,2.5091143601,2.3744305417,4.4217798399,4.3279761505,3.6749666437,3.2240226131,5.5121746152,2.4710449823,3.3911010139,5.2799898639,6.6050022349,0.8983220726,1.646325337,1.0202771276,4.4688320783,5.8380120913,7.9691234724,0.7443947163,3.4431152088,3.0334395454,2.8117590673,9.3466407342,3.8667044507,2.1035972555,3.8546606135,9.2004955486,5.052275492,6.8732233178,4.9625224103,8.35864478,8.5209874647,7.4081461896,3.3031930448,1.8900693992,2.9628095448,3.4105587099,7.0748699321,4.1856113851,4.0286598121
5,7.6788430775,11.1689492696,4.2876842086,7.8495840829,5.4054389133,4.5389620744,6.4598523574,7.888643754,3.186070717,2.7504292849,7.4133577212,6.875928804,12.517018404,4.1943272307,6.755237807,2.9752207093,2.7989467426,8.4999049627,1.8359847592,7.9798743584,5.2583199623,2.7500033728,2.177354645,8.1810223569,4.6663764561,3.8535722545,3.9394456481,5.3018859356,2.7340128254,6.0466989382,2.9084461105,6.0983202654,4.2612174843,6.1586496013,4.6003995811,2.3781666456,9.0389938712,1.9772838756,1.4659437482,5.2177417825,9.2237292026,3.7822414165,8.0936017203,4.0938508317,0.8230370811,4.857304096,5.4279464594,4.5590947053,7.0874883376,5.1325349663,6.1002195628,7.482843364,9.6964501484,6.0458093422,2.834998207,3.3431788127,5.7602916669,3.3613869735,3.2402701815,1.1550885641,5.6089566629,0.8173855267,3.1442942941,3.9926347978,6.007222397,3.9414753673,4.7013416128,3.2148155693,5.4701520974,3.1308497457,3.3163832462,4.4760443518,8.3221172665,3.0946320955,0.4036605876,1.7666479133,5.9296585069,5.7073372558,9.4532286378,0.1670334051,5.2698035554,3.0550272878,3.2701935123,8.0333281284,6.968636413,3.7853406707,4.4731831773,11.2222417496,4.8286108143,9.5153032778,7.2055073996,9.8495061737,9.1014392819,8.3376744254,5.0963976593,2.422779355,2.6888424909,5.2095986846,7.9461082712,4.6701712681,3.6818691351
6,8.2916502926,11.40355577,6.5380864463,8.8220876241,6.1489283712,3.6400640468,6.6418349509,8.0103777736,4.0980738472,2.9543565585,9.0555426314,8.4975681529,10.4848637441,3.3497268334,5.7517367836,3.0077699508,2.695811499,8.4104890685,4.0328573131,9.3667786214,4.601562512,1.7779188431,3.2909703256,6.088933932,4.2329588567,5.5056328445,2.3818553898,5.0005142022,3.70970331,7.0595840219,3.9744321305,6.2633337012,3.0537044007,7.1434102307,5.3043798833,3.3758237296,7.0098124265,1.8999027123,2.6945724146,5.9736836644,8.0446373347,2.4153346434,9.0916731935,4.6160686502,1.1824068882,2.1395125613,4.5426389169,3.3180942712,6.7775832572,5.5649095529,6.735472322,8.2899425258,7.9635923643,5.8928770063,5.2202305732,5.2595588962,6.1146636504,2.0193140297,2.918633347,2.9569063073,4.5377016732,1.1153988319,5.2072694342,5.1287048628,6.9088615956,4.6025753496,3.4668240629,4.7499146013,4.935640946,2.972489718,1.7183850284,3.7131173514,9.0684663889,3.630135893,0.6350256162,3.0008290351,7.4177382403,6.264093245,12.7254495449,1.0633364208,6.2959008409,5.3700158864,0.9574463424,8.0974145402,8.1009042984,4.9838482235,4.6688950581,12.6379509263,2.6739650162,10.7384175404,8.1647897854,10.8739816537,8.26361178,9.7494628652,5.687456117,3.2364727383,3.0147572228,4.8519032859,9.4539741093,3.9300190377,4.5972205864
7,8.0681038698,11.6599992491,8.1396242373,7.8835803928,6.8914126939,2.057309333,5.8687705221,11.1902148062,4.5945770435,3.0143073008,9.4145441525,8.045295447,8.8712637827,2.8640554201,5.8048717578,3.0283760118,3.3268585317,9.873020224,7.5068045429,10.5402742039,5.4170272707,2.3412349606,5.0857275718,4.2691938493,4.4194201585,6.3615537504,1.4461762924,6.3977908028,3.9343284805,6.479034297,3.7801929609,7.6000948758,3.8145622437,7.3918583214,6.2579082842,3.7477341265,4.5051088392,1.20286974,3.2567885862,6.0493226278,6.3946440914,0.3970258503,9.9596495986,5.0433622543,2.7218927846,2.9147364263,5.1684294818,3.3960047185,4.9201582098,6.9844430731,5.1754594272,9.8888088592,8.0007212502,4.7044450828,5.0151840572,7.9899271536,7.8026830864,2.2454417872,2.6016883975,3.9166476325,5.929427564,2.1914660412,6.2500823456,6.7751599928,8.5928388185,5.1213235491,4.3415122069,4.3974179668,5.2721712171,2.9306465196,1.7470973404,2.1247557551,8.89531749,4.5675304735,1.8134746277,3.678957917,8.2723057154,5.968073732,13.2584010743,1.0996316615,5.2919261972,6.9266837376,1.4922518359,8.5192640544,10.6135892436,5.9825142336,6.0612455249,12.7473797024,3.443867503,12.2324065319,6.0552191062,12.159131247,8.3115087074,11.3730384986,6.0010655553,3.5408987243,3.0635066202,3.3719940589,10.5938331036,2.9736412223,5.0674304332
8,8.7398404909,10.1451761324,9.038569986,7.4883487509,6.9351186088,1.2157454763,3.3544676095,12.760064062,4.6731730028,4.7464688662,9.8597017078,7.3913897456,9.652225965,2.2776019968,5.4279880355,3.1424863855,3.2336250629,12.5683924814,9.6328588696,10.5568803705,4.9556242204,3.893777037,5.822395367,3.4839157186,3.9359608122,8.1815692573,1.8647488409,6.2305704905,4.1297116364,5.1258783149,2.5398949648,8.6267367406,4.0388082976,7.3002380781,7.4434010332,5.7856135525,3.1583399315,0.7776257825,4.6722677006,5.385855583,5.9515408595,0.0518366272,10.07446105,6.76280929,3.8402695345,4.9020155075,4.9583325704,2.3654234936,5.0678454126,7.1421971728,4.3865871891,10.1580931646,7.8573544667,5.6473811057,5.0259047695,8.9636759834,8.4546258657,2.930121989,2.1935501866,4.7774649426,8.8561544852,2.4861291778,7.1535935119,7.9998069329,8.1089620848,5.0478550923,4.598358508,5.8751019411,5.6354035334,3.4512905985,3.1363738536,1.2445246209,8.5646391365,4.6583961611,4.003893603,3.9737852126,9.8593091564,3.6013315635,13.3883146032,0.8224915368,4.1798512336,9.0685640889,0.231860801,8.6438929728,12.0956214731,5.6337743086,7.6140435667,11.7569377245,2.9044256856,13.3079265247,4.6401544137,11.9608043706,8.9175411692,12.2680450923,5.1305646915,4.7005266207,5.3965064861,3.0837667848,11.2481122529,3.089351728,5.4699809074
9,9.0206395934,9.7396961028,10.8314540097,7.6481148441,6.3259524009,2.6216495642,3.8661393621,13.3051957737,3.9620779401,5.9363810083,10.6865015852,7.1668800279,9.0978169868,3.2825922627,6.1585704665,3.9429833545,3.5556475314,13.2340517845,11.4656909039,9.415976206,5.0461863391,7.0275792146,5.6381441066,3.0411414447,3.084223913,8.8812378668,3.4624015426,4.7316553067,5.2069424153,3.4286014931,2.5649807699,8.3483776852,4.9112861773,5.9627704213,8.541594318,7.1172118356,2.7190476126,0.8939520527,5.0418924161,6.2024744359,5.7470903217,0.4510163595,9.5900171767,5.1870146429,4.7453064673,5.9356331659,6.7571100942,2.3388078289,5.4821412688,8.6180479316,2.3915661463,10.2362413456,8.2355264648,5.8093582461,3.9590486631,8.7228163135,8.0564128884,4.666412249,1.8760811442,5.1610934323,9.1072022825,3.0239351977,6.5592421391,8.1245296284,7.5580145205,4.2121599055,5.8427143925,7.1014954956,6.6955461176,4.852318812,4.6173450461,1.6601421026,7.115766977,4.843775305,5.1814930018,4.5465836927,10.8549362712,0.9704264377,13.1853818104,3.5129311965,3.6366429766,9.9147930234,1.6383894296,7.7910868111,12.2056994288,6.4318918444,7.5440171032,10.6187108696,1.6028021463,14.6912389187,6.3661687966,12.9390107537,10.7233324031,12.652717979,5.0101339753,5.4503644657,8.6082355037,2.7268343329,11.1150704868,3.9172871807,4.8941547022
