,101_1_222_nonlinear_homogeneous,101_2_222_nonlinear_homogeneous,101_3_222_nonlinear_homogeneous,101_4_222_nonlinear_homogeneous,101_5_222_nonlinear_homogeneous,101_6_222_nonlinear_homogeneous,101_7_222_nonlinear_homogeneous,101_8_222_nonlinear_homogeneous,101_9_222_nonlinear_homogeneous,101_10_222_nonlinear_homogeneous,101_11_222_nonlinear_homogeneous,101_12_222_nonlinear_homogeneous,101_13_222_nonlinear_homogeneous,101_14_222_nonlinear_homogeneous,101_15_222_nonlinear_homogeneous,101_16_222_nonlinear_homogeneous,101_17_222_nonlinear_homogeneous,101_18_222_nonlinear_homogeneous,101_19_222_nonlinear_homogeneous,101_20_222_nonlinear_homogeneous,101_21_222_nonlinear_homogeneous,101_22_222_nonlinear_homogeneous,101_23_222_nonlinear_homogeneous,101_24_222_nonlinear_homogeneous,101_25_222_nonlinear_homogeneous,101_26_222_nonlinear_homogeneous,101_27_222_nonlinear_homogeneous,101_28_222_nonlinear_homogeneous,101_29_222_nonlinear_homogeneous,101_30_222_nonlinear_homogeneous,101_31_222_nonlinear_homogeneous,101_32_222_nonlinear_homogeneous,101_33_222_nonlinear_homogeneous,101_34_222_nonlinear_homogeneous,101_35_222_nonlinear_homogeneous,101_36_222_nonlinear_homogeneous,101_37_222_nonlinear_homogeneous,101_38_222_nonlinear_homogeneous,101_39_222_nonlinear_homogeneous,101_40_222_nonlinear_homogeneous,101_41_222_nonlinear_homogeneous,101_42_222_nonlinear_homogeneous,101_43_222_nonlinear_homogeneous,101_44_222_nonlinear_homogeneous,101_45_222_nonlinear_homogeneous,101_46_222_nonlinear_homogeneous,101_47_222_nonlinear_homogeneous,101_48_222_nonlinear_homogeneous,101_49_222_nonlinear_homogeneous,101_50_222_nonlinear_homogeneous,101_51_222_nonlinear_homogeneous,101_52_222_nonlinear_homogeneous,101_53_222_nonlinear_homogeneous,101_54_222_nonlinear_homogeneous,101_55_222_nonlinear_homogeneous,101_56_222_nonlinear_homogeneous,101_57_222_nonlinear_homogeneous,101_58_222_nonlinear_homogeneous,101_59_222_nonlinear_homogeneous,101_60_222_nonlinear_homogeneous,101_61_222_nonlinear_homogeneous,101_62_222_nonlinear_homogeneous,101_63_222_nonlinear_homogeneous,101_64_222_nonlinear_homogeneous,101_65_222_nonlinear_homogeneous,101_66_222_nonlinear_homogeneous,101_67_222_nonlinear_homogeneous,101_68_222_nonlinear_homogeneous,101_69_222_nonlinear_homogeneous,101_70_222_nonlinear_homogeneous,101_71_222_nonlinear_homogeneous,101_72_222_nonlinear_homogeneous,101_73_222_nonlinear_homogeneous,101_74_222_nonlinear_homogeneous,101_75_222_nonlinear_homogeneous,101_76_222_nonlinear_homogeneous,101_77_222_nonlinear_homogeneous,101_78_222_nonlinear_homogeneous,101_79_222_nonlinear_homogeneous,101_80_222_nonlinear_homogeneous,101_81_222_nonlinear_homogeneous,101_82_222_nonlinear_homogeneous,101_83_222_nonlinear_homogeneous,101_84_222_nonlinear_homogeneous,101_85_222_nonlinear_homogeneous,101_86_222_nonlinear_homogeneous,101_87_222_nonlinear_homogeneous,101_88_222_nonlinear_homogeneous,101_89_222_nonlinear_homogeneous,101_90_222_nonlinear_homogeneous,101_91_222_nonlinear_homogeneous,101_92_222_nonlinear_homogeneous,101_93_222_nonlinear_homogeneous,101_94_222_nonlinear_homogeneous,101_95_222_nonlinear_homogeneous,101_96_222_nonlinear_homogeneous,101_97_222_nonlinear_homogeneous,101_98_222_nonlinear_homogeneous,101_99_222_nonlinear_homogeneous,101_100_222_nonlinear_homogeneous,101_101_222_nonlinear_homogeneous
0,4.5431459227,3.2052942133,4.4961296847,4.5752780714,4.4928169801,3.9239683167,5.4738303258,4.7681674005,3.1289673637,4.5111191079,3.7808178112,4.0730010166,3.4937536926,5.2917843735,4.3953415557,4.6695454146,4.5289048297,3.5289624962,3.8938353453,3.5494238116,3.6904557458,2.6720706121,3.9756672869,5.8054512878,4.7649420778,4.6342033882,4.1300039844,6.4222558818,3.6921652023,2.9649539696,6.7542873328,3.3710835799,4.2116085096,4.4430305679,2.7537730619,5.0911544336,5.8436790263,2.1704737923,3.9932079904,4.4572789534,5.3485420349,2.7916557133,4.7331064943,3.9825331738,3.9293903761,4.6581241653,2.2957015415,3.8347102365,3.3368169701,2.6648842284,4.4250739632,4.1437192616,5.1674290753,2.2918389728,3.0925265514,2.7684472466,2.4011252597,5.5181546966,4.2765501488,5.1981444236,3.0651656474,5.8363187245,5.7540857007,4.6406606591,3.2435797678,3.382255448,5.9535773624,5.067748108,4.4983797265,3.7930239034,2.7494386509,3.8997980745,3.0152344376,5.0135528125,4.0077540122,3.0430018862,4.2425418671,2.8655144779,3.1507659337,2.7739109489,4.1057447997,5.3601427887,5.6244665769,3.2477699553,5.2641721731,4.5105793317,3.3191293496,4.3656805846,3.0036093917,3.8716000943,4.0727917072,4.702091732,3.4087732007,4.8972944792,3.7784845389,4.3559109814,3.9277236824,4.7233636379,4.051843336,4.1977882628,3.8479434685
1,5.2974772373,3.0355602198,5.254123296,4.9842944799,3.0493622007,6.724357081,4.613203287,3.6329951201,3.7463807516,5.0055026882,4.732055434,3.7579793503,3.2627795013,7.0485610328,4.6689421433,3.6442899642,4.404566487,3.0796713012,3.6833376441,3.791382496,2.6686383115,4.6088023405,6.4915576785,6.4499609658,4.8284365815,5.3759271035,4.571706181,5.7983787644,4.090072123,3.1501729178,6.6969522859,2.7016700574,4.5843360042,4.4606156156,2.7187812082,5.0433105809,6.7711155788,3.0616336403,3.3698216601,6.113358385,6.134508983,5.7335965928,5.4231126797,4.4003490714,2.47893452,3.7632520417,4.8145179284,4.1172564732,4.2160416958,2.3781057689,6.2629849158,4.1201099409,6.0532683043,3.8439013204,3.5570511742,3.5801877651,2.9021950249,5.0001247787,5.0706241415,6.7221350197,2.6418516386,7.3710457418,6.5164028871,4.0997533833,4.5695616757,4.1101534069,5.0831133352,5.3180226486,4.9584916512,3.045436544,1.4214675023,4.8874398157,4.0571342174,5.0289622063,4.6450014814,4.9490641505,5.6774871231,3.5732005086,4.1685051976,1.9662546237,3.5577479418,5.8882142334,6.6021403157,2.9590287619,5.9134546925,3.6096697054,4.4970788351,6.1846577744,3.001158923,3.1434799794,3.5072265752,3.6018116624,2.6477584394,5.8483324489,3.7820670473,3.0605244742,3.546237229,4.543105468,4.6875237314,5.6513200781,2.2546888598
2,4.9317773482,2.7265788321,5.1220747306,5.4137126469,3.8878352726,6.5562201028,5.5149842112,3.1708523538,3.7364108436,4.6608535662,5.7280530694,3.2233529002,2.9281971404,6.5425374472,4.6713639185,3.9282618247,7.7872710263,3.9691960603,3.4739595161,3.9794476535,3.9095674726,3.9748232498,5.1238303631,6.6078804116,5.2623625437,4.0242907733,4.5104924913,6.5925237173,3.4456672009,4.5112134324,7.0159668339,3.3166577337,6.036577187,4.2160793801,3.7430381863,3.7460284609,5.2785492726,3.9194330914,3.088617793,5.1974825031,7.0948609408,5.6818366218,5.3273707255,3.8065205207,3.3720490009,4.5576046571,5.6199773952,4.2545860014,3.5774589979,4.0608629639,5.3392345909,2.5763276453,5.509271988,3.9948758437,5.7975939491,4.1362761906,2.5216211305,5.1732092564,4.3348220104,6.917329881,2.70403502,6.6357965801,7.3566550962,5.1450874054,4.8790415565,3.2324090783,5.2612016263,7.0742852362,5.0087085256,4.6117406847,0.6490210724,5.2088701329,4.0142678883,4.2487855898,6.1868021043,4.8617078018,6.2604778835,3.4578587093,4.9776304661,1.3606449776,3.0391040841,4.839326265,9.0645209477,4.3491179276,4.7420949059,3.2148384894,3.3446502319,4.9299028206,2.5275004639,3.9284427819,2.8129968703,3.9345886788,2.1464754052,7.6055058423,4.0972769585,3.0480499893,3.1714252979,3.0100304028,6.4144338975,5.8716405475,2.4975208841
3,3.6675524287,2.8583590361,6.1503191929,6.7106905496,4.1000013121,6.2775862308,8.0987304015,3.9500274671,4.3373667811,4.8833119029,8.1980086818,3.4000132088,3.5115997264,6.6279520873,3.6585458655,2.8627077971,7.9957884575,5.5628870878,5.0299629584,5.5825667271,3.3773109163,3.3829107764,4.5281076469,5.9129866307,5.7011050399,3.4991901611,4.8884855195,5.7436994276,3.5854881726,5.6323493792,7.5525966321,1.6987028418,5.9590751233,4.6240471222,3.105627107,4.3690890278,4.2326993726,4.4804694855,4.3292805782,6.6204707031,5.4780336425,6.1207891966,5.509167841,3.4779604615,4.1696505949,3.4864050047,5.9602138108,4.1276225629,2.8065149416,5.6490232212,6.504427474,2.9666192571,5.0903540081,3.5020681852,6.4436020927,5.5959996563,2.2759600179,6.6989048754,3.8970035083,6.7321983654,3.8034303149,8.3805723487,6.8124946221,5.2610381113,3.9940674575,4.054863358,6.8027542498,6.8196686936,5.7499007081,3.5938720682,0.2185252969,6.1295751777,2.9578352835,6.0047009313,7.5090937185,5.3400880676,6.8212893078,2.5605178711,5.5548938195,1.7119797011,3.9876138553,4.7157607201,10.7883697663,4.1366291334,4.1322099124,5.8612243314,3.6890229197,4.6291760803,2.2884419784,4.3656266941,2.6819174102,6.0698115546,2.3323063043,7.0753706098,2.3231018781,1.5437647729,3.115011584,4.7549486472,7.4802015262,5.604979666,2.2102205397
4,4.265952475,3.2722018213,6.5333983772,6.3680421515,6.2616824081,6.9881420915,8.7584853383,5.0284618532,5.3597505078,4.0478674421,8.9035017686,3.784744178,4.3384283563,6.7142812969,4.3917816298,3.0117778072,8.1667692087,5.3302119819,5.5009684301,5.2918973552,3.0853030881,3.0212468754,4.522450962,4.2169568082,6.8110213833,3.5076819188,5.0215592248,7.5768316622,4.8383310091,4.8408224313,8.3005305803,3.0940309298,6.0260955393,4.7882139345,3.0191934309,6.7086685928,2.7611155433,4.2243266507,4.350088512,5.6612402645,2.4367032739,6.2763272247,4.2780286055,3.0142324643,4.93544317,2.4290683476,6.9115966702,4.417778634,4.3836510238,6.1073680145,5.7798673164,3.1875883545,4.9787343372,4.6942281296,5.8851149304,6.0841079358,1.7853342171,8.6436574754,3.4148519626,6.7618905553,2.3881551943,6.1521491855,6.2884630206,4.204442965,4.5172513677,4.8506984469,7.9155474872,8.0600467965,5.5151651255,3.1533501694,1.7086029948,4.8497963939,2.0888655647,4.6284601522,7.8378793748,5.9356411638,7.0881414961,4.6164837196,4.132720112,2.4092711486,3.1441373419,5.6342152169,9.9448233138,5.0489478467,5.6578382726,4.7390951106,4.0940570934,4.5319812425,2.5362601885,4.4126007724,3.9860383207,5.8358885972,4.2706135477,7.1363388333,2.3731749118,3.4877594513,2.9648460162,4.5606820028,8.3314550469,6.461984982,3.1125058143
5,5.2511722885,4.1971858427,7.3689588338,7.0216288498,7.2506143543,7.0050072336,8.7952237539,6.1427622079,5.5081316714,4.2233791008,7.8671845883,4.461661635,4.1831286919,5.6024958029,4.9609298597,3.2764284097,8.8136053849,5.3158099688,4.8874238555,6.2991386199,2.0701512049,3.8533650273,5.1480429962,4.9301957856,5.723465731,3.9860237235,5.0539792771,8.0795495281,4.582007564,5.6255652737,9.6998365032,3.4798665474,7.1720025028,4.4447183144,1.8197318652,5.3740905002,3.4080481292,4.3315650041,4.3298962259,5.9690286499,2.7753987512,6.2321824805,4.4486669785,5.2039412778,3.7148223624,3.091858422,6.2146061037,5.4521700755,6.5900366918,7.5327789928,6.1971568815,3.813605406,4.4065257407,4.1767373002,5.888197753,6.7034411703,2.6615592547,7.1419006258,1.5530183381,6.8981061244,2.6696599057,7.5337444535,7.9989144173,4.4458212199,5.2696832584,3.7076787875,8.4052392498,8.1633137586,5.3399093963,3.401039035,1.3915001794,6.4293225692,1.9625023163,5.1668289147,8.8141397111,4.3326038566,5.8745266464,4.3584771666,3.4934859762,3.1371568877,4.0833239925,5.8369966314,11.3049591487,4.9853260089,6.776002314,4.831517695,4.7001372869,5.1481642724,4.240382801,4.4736045903,4.3014141767,5.0990994062,5.459822548,6.7430272783,2.5683184609,5.3723682282,3.9253390984,4.589786825,8.9866797465,6.0968135409,3.3493510168
6,5.5047138555,3.0879177921,6.5608410723,9.6929279464,6.6681759456,7.6787283303,9.1174111638,6.1744583025,5.3337593118,5.4688765988,7.1718688705,3.0593669247,4.0250192325,7.1769995976,3.705469024,5.427086078,8.409007945,5.3050317836,5.2234765132,6.5997437822,2.1649523251,5.0636524095,7.2798396609,4.6943082665,5.9663232217,5.2916804821,4.6005630153,8.9830720752,4.6788250934,5.3214427696,11.1599579372,4.0922680195,9.0515588589,4.343534263,2.7143196244,4.8442259555,2.215385339,4.8563489263,4.7977671849,6.9545201225,3.174740831,7.0262022205,5.1922470646,5.7715190271,1.8509001371,2.2021130699,6.0073321834,6.302661291,8.3496487477,7.0296682916,6.6297646983,3.2493477454,4.5837414148,3.7220418514,6.8239053249,6.3628946888,2.2235487854,8.5754288564,2.9464487944,8.5780109928,3.3280819533,8.7399405253,6.4624824033,5.5953361541,4.1770843194,3.7170779349,8.0654299108,9.049196016,5.6475866297,2.4569947435,0.9890597926,5.2701407802,1.6970295837,6.448725996,8.405387418,4.9998007011,6.1352401543,5.5761509755,4.8208728998,3.4121889541,4.3526910004,4.9625165952,12.411565866,4.9147689824,5.2224008613,4.0093070333,5.5166139441,3.2369527106,3.7345211551,3.7541659332,5.4436825118,6.3754206897,5.5909009678,6.3822802287,2.824554824,4.1064198065,2.824556614,5.2401169392,9.0153365172,6.2411939247,3.1587539449
7,4.6948368991,2.8181825006,7.0746090076,9.5261005261,6.7504614334,7.7533330048,6.2829402376,4.5195196479,4.572615376,5.9677949831,8.3851262532,2.4072354898,4.7535978314,6.9607531544,4.2515659489,6.7764632082,8.4319744695,4.8649766136,6.5656319151,8.1814445563,2.5592340101,3.1491713351,8.3845348489,5.0970315964,5.4411965404,5.5708293419,4.9290098533,9.1948390333,4.1369686962,4.0375415108,9.2710908183,2.4904885737,8.6123773924,4.7430326431,3.3572163743,4.5113863619,2.2795215794,5.6187884508,4.3809230871,6.1604092247,2.2136985357,5.8362289271,2.8579866234,6.4981144887,2.2960600721,2.1221039184,7.5986126489,5.610379436,8.7140810369,6.9985764401,7.308612965,3.2537575428,5.4858611604,3.044008511,6.7625862134,6.5678181128,1.0459012608,6.7962060143,3.9075329373,7.8107639838,3.4703051043,10.4512029575,6.4695266775,6.7027896052,4.578433894,2.8334194707,8.9711252546,8.1948503397,5.1578661219,0.388146184,0.4623157703,4.2771138709,1.9087076107,6.2499286169,8.6497701791,6.3682390407,5.689780996,6.5227537556,4.8096716365,5.698539314,6.0373822627,5.898217174,12.3138808698,6.6855183437,5.7720123279,3.1133368444,4.5327117768,3.6529126107,1.6870288564,2.2499767305,5.8144050642,5.4360465384,6.8040622725,5.1430822195,3.1116755178,3.9117422556,1.8735977933,7.4747028177,9.6524658006,7.4914403604,4.7546018074
8,5.3201778733,1.9638046357,8.2210078299,8.7287523677,7.4687444527,8.6816959926,5.6142040937,4.2762823435,5.6015087238,4.441538827,7.801855966,2.4385893277,5.114190887,6.89840685,5.0628589489,7.7703472571,9.7260204261,3.3592043826,6.7173892999,9.7975886132,4.1553069721,3.1633398652,10.0727896781,5.1367202377,5.0826349151,5.6362615596,2.6524357686,9.429397632,4.8717050657,3.5796402902,9.6700694662,4.18343183,7.5757510132,6.6310846845,3.4240434489,3.9188670077,2.5564565685,5.370950146,4.9761362477,5.3388238069,3.5761864382,4.5508490156,2.2444905279,7.1284645882,3.3350445541,1.7545453051,6.560178112,4.6155056294,8.9644400867,6.6785287446,5.778714881,3.668129625,6.1890346346,5.0681966164,7.4598580419,6.3599241142,1.113964138,5.2534708657,4.7990071855,8.7444264252,1.9650534259,10.1142544442,7.654662203,6.2562687661,5.3465689872,2.5668894154,8.2112433542,7.9456657567,5.9109131378,0.9751324606,0.8434667853,3.0243995086,1.2413607331,6.9899269998,7.274851997,5.5707404794,5.2612492677,6.6749795714,3.8872768271,5.7120430582,5.7734307401,7.4021405823,10.8639523153,7.3529375273,5.1612656079,2.1899733424,4.9170570334,4.0701323582,3.2544973386,3.8404535612,4.7310927759,6.8782896115,7.2052169479,5.1105594611,1.7634492579,3.4788630914,2.1668607922,7.7321426058,11.166925617,8.3762335627,5.1506040591
9,5.1708810845,2.5151010228,8.9049351067,9.2026207356,8.0955593728,7.6792446002,6.3084426335,3.1760990934,6.4958330825,5.5134925614,7.5377656146,2.3459108643,4.6795864832,7.0014574994,4.4641471893,7.3974615384,9.8768333979,3.0291548988,6.4667349715,10.3034909894,2.6320426938,3.1470331195,10.7559379459,4.409376728,5.4091764182,5.9305371767,2.7020040174,9.5678736275,4.0503798647,3.9945484618,11.1734220892,5.8920161651,6.028759159,7.0400201625,3.4853686704,4.3811641007,3.2241611386,5.0235964269,4.1246405336,4.3613868451,3.1007561179,3.4729782921,1.8595364001,8.3688699508,4.714486863,1.6424892408,5.1979727759,5.6647460851,9.3880017315,6.0746970618,4.8504546941,3.2995862637,4.3482330641,5.2761844058,8.4969711474,6.6856359706,0.956462179,5.7726778433,6.6103314431,8.7181473396,3.4861623882,11.6111510683,9.0133638192,6.7321683473,4.4902975796,2.4051159217,8.3710847208,7.5911646234,6.1373025661,2.4660597802,1.5153519214,3.4773031743,3.4305414836,7.0291173272,6.6739338032,5.9506744919,6.2890466381,6.6811308215,3.288473282,4.223155879,5.7294705527,7.5437412082,10.8873409769,9.1883373753,6.1711748367,0.7847208516,5.5551869028,3.6649349347,3.0703170656,3.8677173845,5.4612001066,5.4871572145,7.7326348995,5.0251886204,0.7482737678,5.0606544616,2.2047204919,8.0059535956,11.8928988769,8.6612070644,4.4603805696
