,10_1_222_nonlinear_heterogeneous,10_2_222_nonlinear_heterogeneous,10_3_222_nonlinear_heterogeneous,10_4_222_nonlinear_heterogeneous,10_5_222_nonlinear_heterogeneous,10_6_222_nonlinear_heterogeneous,10_7_222_nonlinear_heterogeneous,10_8_222_nonlinear_heterogeneous,10_9_222_nonlinear_heterogeneous,10_10_222_nonlinear_heterogeneous
0,5.1390170059,4.0537316492,3.6352056202,1.6661738819,4.0509157027,2.3864988907,5.030490711,4.6039913749,2.6260509634,4.5191433767
1,5.9977233115,3.7680827277,4.6603663669,2.1320373004,5.3962302689,3.0811115546,5.3311084981,5.2805635047,2.942737873,4.8113132107
2,4.1627898974,3.7523563805,2.9166456597,3.4407841725,4.8092662449,3.9902736141,4.9132190095,4.6209228811,1.5191367076,4.4608217584
3,4.2394303586,4.4816521233,1.8818721308,2.7191665878,4.6809308339,5.6648998913,5.1370330515,5.5001121204,0.9023779111,6.1574407063
4,4.8129442052,3.4615102822,0.9977954354,4.5597572844,4.8423318791,7.5083637845,4.8019949105,5.7913915183,2.3744483654,6.4811289109
5,5.9761469202,3.9156011878,3.8585943292,4.2526918799,7.0476408554,9.1420882992,4.6286370322,6.1882583527,3.0983478146,6.4732756604
6,6.4673358268,5.6890894913,3.4995403371,6.4068316468,7.9522650052,10.4639684861,6.0499393559,4.7849245007,3.1764698176,5.1501942154
7,7.7258641604,5.3755717077,2.6052492276,7.257341771,8.2432881992,9.2045132368,6.2459023509,4.5678865619,2.2848109805,3.8571395339
8,6.5986811549,5.2831268502,3.8852529026,5.2640537453,7.2598900696,8.5927003424,7.0851691136,4.4715262654,4.438485811,3.8877802893
9,8.5440383608,4.4358365289,5.7940883016,6.0997696912,8.7209578872,9.255388342,8.6021793672,3.6322477066,5.6429362227,3.2062592532
10,10.6657303405,3.0110569372,7.8979235337,5.6113287256,10.0002720927,9.3778565874,7.3466587642,4.5699195482,5.5954508565,3.567565644
11,9.6938256836,4.0708834933,7.6029125042,5.7958606616,9.3720222344,8.8621014793,6.7504305446,4.6667282331,7.1033510884,4.0390003325
