,10_1_222_nonlinear_homogeneous,10_2_222_nonlinear_homogeneous,10_3_222_nonlinear_homogeneous,10_4_222_nonlinear_homogeneous,10_5_222_nonlinear_homogeneous,10_6_222_nonlinear_homogeneous,10_7_222_nonlinear_homogeneous,10_8_222_nonlinear_homogeneous,10_9_222_nonlinear_homogeneous,10_10_222_nonlinear_homogeneous
0,3.556173782,5.8040821263,2.9927516099,5.4061312633,5.2199715912,4.8628982723,4.7617666045,5.9194349729,4.8432811796,3.8288012276
1,3.6947474647,5.9169020085,4.6307295936,4.9607106497,4.0818428862,4.5652410487,4.4298936656,5.7841703528,5.7670022754,2.9091081958
2,4.6420447376,6.2784467155,5.552719356,5.241035485,3.6863061706,5.4943754396,3.4957471295,6.2082632759,6.2592417185,3.7692844033
3,6.4549770915,6.3055833311,6.5050735352,6.1144715658,4.2866583086,6.1923872636,2.8745089827,6.1061082641,4.1591577237,4.179706101
4,6.1296687002,7.501209152,5.5097145035,4.9876075622,3.6520636192,6.710000001,4.4384012404,4.9816798741,5.1585463409,4.5711688705
5,5.2291722452,7.5096667471,4.8249070035,5.732145947,4.6027674259,5.8652558383,4.4141671791,3.4284524935,4.8331820677,3.8795043752
6,5.9674306735,8.124445244,3.4534939332,5.1108366956,4.922371848,5.5033892766,3.3984695729,2.3212531776,2.4162669468,3.8741732897
7,5.2969078299,6.857737467,2.9350376155,4.8508964974,2.7183553282,4.2045765254,3.1433724419,1.7190357809,1.4512082861,5.8865156652
8,4.856714479,6.7164301327,1.860676832,4.3952954352,2.1722631929,4.3655514427,2.906090427,1.0060021483,1.6253783943,4.9264008551
9,7.458786159,6.7200084778,1.9457914156,2.5986873193,4.7281632379,4.1660599155,1.2610549458,2.182532313,2.6570310038,6.3221522057
10,6.6642078869,8.1827197339,2.9509565012,3.916630975,3.7795069808,3.3351451376,0.4912944765,1.2355289153,3.2424203048,7.0590786621
11,7.9043907913,8.7183057227,2.1842393223,4.1600622734,4.1059414991,4.1035479845,1.9286515694,0.0543875816,5.3620204606,5.9223201118
12,8.9388137255,8.7635045861,2.3038313188,2.8753707934,5.3176674658,4.8320541022,4.1557936822,1.2823152426,4.4679411756,4.5155516043
13,7.7706130359,8.239531741,3.3758721135,2.8063728882,7.303064544,4.2715780272,3.8905616037,1.7728371383,3.1454138155,4.7631619317
14,7.6316814768,7.5138892779,3.5670120972,2.6609584227,7.7868167123,3.2589204571,5.7777893529,0.859349764,2.9748835341,4.2376353275
15,7.419681689,6.1836035996,3.1736179661,3.4710412097,6.1564408865,4.4183370455,7.5721707417,2.1197316936,4.4898879683,4.8938819111
16,9.2298377309,6.6626666706,3.3359073824,2.5284267529,6.9484080295,2.6188107025,5.1555171691,3.3638698058,5.6308482178,3.9009350825
17,9.516140563,6.8551553356,4.0982064843,2.0794644218,7.7453591982,3.7046703773,4.9614978125,2.8782673482,5.732458135,3.7955357811
18,9.3299346237,8.1695783087,4.4815285159,1.8080145877,8.3455825428,4.8046868695,3.8532998992,0.8518067343,5.2214441558,3.7973587988
19,8.5143701556,8.8847537253,2.6319338074,2.7948145634,8.0628975874,6.0443970978,5.2103415235,1.2128032646,5.1278164276,3.1343673905
20,9.2425378846,9.8024161692,2.5620575584,2.1438561046,7.5106919421,5.6474613648,4.2589363034,1.2727171031,4.0773196243,3.7206135832
21,9.7976751196,9.8916501286,4.6473542139,1.519782613,6.2794252819,4.603996595,5.8309222538,2.1699448882,4.4321116058,3.8452100098
22,8.6022168436,10.301387362,4.9463441425,4.2658608242,4.519856946,4.7652703033,5.9901292288,2.0760513113,4.8199064016,4.961931941
23,8.218614191,9.6507773321,5.093564153,3.9623862207,4.5670137188,4.2121477554,5.8549665372,2.8094605877,5.584425059,5.4539449111
24,7.706345649,9.8233501381,4.9965395361,4.5638753188,4.3400127795,2.4156993269,5.836667025,3.0930120031,6.7159516978,6.634934834
